,Name,Regular,English,Notes,Breakdown
35,NPH_BeastWithin,^pnpe'k-dlčkaqeq.^ziklʁums.^lo-'astiww-žyxut-loxə-qabe'.^lo-ɢəastiwwnaķmqxupl-ɮiwwpnpe'kfa'ipθ-ʁinaķem.,Beast Within. Instant. Destroy target permanent. Its controller puts a 3/3 green Beast creature token onto the battlefield.,,
36,SLD_Praetors,^φyrxkeθəgð-pxaajtyr:plinexs-ɢwinšporg.^φyrxkeθəgð-pxaajtyr:plinexs-ɢwinšporg.^φ'kitv-wnšprg.,Phyrexian Praetors. Compleat Edition. Phyrexian Praetors. Compleat Edition. Foil Edition,,phyrexian-world [pl]praetor.compleat card-group.phyrexian [pl]praetor.compleat card-group.foil card-group
37,SLD_Swamp,^qaškm.^ɣøπi'tθəɢð qaškm.,Swamp. Basic Land — Swamp.,,swamp.basic-land swamp
38,Swamp_Lore,^qaškm.^ǩa-qẅrɮwi'g-φe'yx-ruǩam.^xe-mrodn-plinexs.^ǩaπa-əšqmefidrs-qə-naķym-πlnaķym-'u-naķmčəxɬišok-pnrukem.^šøldrd naķm'iǆee't.,,,swamp.(?) resistance [4>3]creature [1>3]see.(indicative) mirrodin compleat. (shall) on_mephidross (that) [4>3]work [4>3]complete (past) make-?_not_? [3>4]greater_see.sheoldred make-[pl]whisper
39,ONE_Article,^jɒɒ'g-mo'yθ.^ǩaπa-dlikχanuj-šχa'yθ.^ǩaπa-hπŋotux-ķoɮǩum-ǩaπaxə-ɢţrɒsad-šdeχud.^jɒ'gžɒðʁ.^ǩaπa-š'iimashaǩ.^čkaqq.^təmn.,"Greatness, at any cost. Fall to your knees and welcome our embrace. Mother of Machines. All will be one. A mixed organic and non-organic sentient being, or a fully non-organic sentient being. A fully organic sentient being.",,[pl.]machine [4>3]father.(shall) in_?_cost [4>3]great.(shall) [2>2]knee [2>3]fall (shall-and) [?>?]embrace [2>3]welcome.machine_mother.(shall) ?_one_[?>?]?.biomechanical_being.organic_being
40,ONE_Live,^xe-φyrxkeθəɢoð.^ǩaπa-jnaķm-weɢw-dl'əpyryx-ɢəkeθəɢð-θwiχaš.,We are Phyrexia. We will sow perfection into the soft flesh of this world.,,(indicative) phyrexian_world.(shall) perfection ? in_[4>3]flesh this_world [1>3]sow
41,ONE_Panel,^lo-ronuɣ.^ŋo-ronoɣ.^xe-twøǩox.^əl-kfɒ'ǧa'.^lo-φarθkyžun-ɬšeɴazyv-təɮirat.,,,(imperative) [2>?]turn.(interrogative) [1>1]turn.(indicative) [1>1]combat.(negative) [?>?]block.(imperative) sun-[2>2]ring ? [1>3]mind
42,MBS_Trailer,^xe-qə-'əpyrxnaķym-xe-jneķom.^xe-xutšav.^qə-'uɮyč-xe-pən'yg-xexə-hπee'x-šəkţayep.^xe-θuqx-xwixyč-dlik-ɣwiəxťeθuqx-'ug'əχw.^ǩaπa-ɢəkeθəgð-bytptxyš-ɣɒzaɢ.^xe'um-šoprapφyrxkeθygð-natlič-krepyg.^'u-šχa'θnaķm-'iixtfu'eq.,"We are perfection made flesh. Our voice calls out to the lost and the broken. They fear death, even as we offer immortality. We will flay the false skin of this world, to reveal the face of a New Phyrexia. The great work has begun.",Resolution is very low quality and confidence on the correctness of every glyph is shaky.,
43,NPH_Trailer,^'u-šoprptφyrxkeθəgð-šχa'θnķym-φlnaķem.^xe-jɒ'g'ə'wgwəww-ma'n-šoprapt'ɴŋexyx-ʁilu'ef.^xemrodn-'əbə'yw-φyrx-pltxexyš-əšqmɴyryx.^xe-pxənnn-xeqit-'iǆee't-təɮirt-ʁičpan'eg.^jɒɒ'g-mo'yθ-močeq-ǩaπa.^naķməxφlɢiqoš.,"The great work of New Phyrexia is complete. New sources of mana power the Machine Orthodoxy. Beneath phyrexian skin, the heart of mirrodin burns. The body is whole, but whispers splinter the mind. The father of machines is coming. Destroyer.",Resolution is very low quality and confidence on the correctness of every glyph is shaky.,
44,ONE_Trailer,^lo-kytθ-əxjnɒķum-ǩlɒkem.^xba-wǆetɢ-θxhikeb lo-πyyrex-ťraǩaq.^ǩaπa-əxtuneem-'aliθat.^lo-φyrxkeθəɢyð-'št'ečel'-'əpyryx-keθəɢð-'ičuq.^xe-ťəəmen-qə'ičyq-ǩaπa-keφe'x.^xe-čǩaaǧeq-naķmkep'ee'ox.^ǩaπa-hπŋotux-ķoɮǩum-ǩaπaxə-ɢţrɒsad-šdeχud.^lo-jnaķm-pnsča'eθ.^ǩaπa-š'iimashaǩ.,,English voiceover does not directly translate to written text on screen.,
45,MOM_Teaser,^əx-φyrxkeθəɢð-jəŋθm-štodam.^šǩa-š'hupš-pn'ẅ'uzɮ.^əx-twøǩx-gøẅruφ.^ǩaπa-š'iimashaǩ.,,,
46,ONE_Solphim,^ǩaπa-šoprapt-φyrxkeθəɢð-χtena.^φyrxkevəɢð.^xe-φyrxkeθəɢoð.^ǩaπa-jnaķm-weɢw-dl'əpyryx-ɢəkeθəɢð-θwiχaš.^lo-jnaķm-pnsča'eθ.^naķmpihš.^φyrxkeθəɢð.^ǩaπa-əxtuneem-'aliθat.^naķmzept.,,,(shall) new phyrexian-world [1>3]behold.phyrexian-world.(indicative) phyrexian_world.(shall) perfection ? in_[4>3]flesh this_world [1>3]sow.(imperative) perfection [3>4] surrender.make-?.phyrexian-world.(shall) not-[pl.]pure [1>3]cleanse.make-?
47,Dark_Discov,^ťattnakmmijens.^ťattnakmmijenž.^əkπa-əjnaqoč-səkdspyig-žəkdspyig.^ǩaπa-dlpχajtr-ťəwolam.^χəə'oχmŋe-dlmo'oθ-wčtəčč.,,,
48,MTGSalvation,^φyrxɮɒ'ɣ.,Phyrexian Language.,"Deduced from context. This screenshot is from the MTGSalvation forum, in a discussion of a promotional article for New Phyrexia. Discussion: https://www.mtgsalvation.com/forums/magic-fundamentals/the-rumor-mill/speculation/245563-new-phyrexian-language?page=2 Article: https://web.archive.org/web/20130520073246/http://wizards.com/Magic/Magazine/Article.aspx?x=mtg/daily/arcana/677",phyrexian-language
49,Ads,^mǩaπa-tɬxẅačt-xɬiwjhuqɬgøťut.^xɬiwjvižuǥ.,,,
50,Merch,^ǩaπa-š'iimashaǩ.^'u-kulx-pən'yg.^lo-jnaķm-pnsča'eθ.^ǩaπa-əxtuneem-'aliθat.^plinexs.^jnaķm.^'ečel'.^'aliθt.,,,
51,MTGA,^'uštaxuφ-xørnyš-pnplťəəmn-konet-'ušta-jɒ'gmo'θ-jnaķm-'əţə'a'.^ɴetsxap-'əţə'o'-'štmrodaan-xexuφ-φyrxkeθəɢð-pnťwə'u'-ʁiɢkyxt'yw.^xe gøẅroφ luπes.^πrøtjt-ǩytπt.^lo φyrxkeθəɢð'ɒjbť-ẅɬnesuš.,,,
52,Keyboard,^ɮøht.^πaǆť.^plinexs.^qxuπyl.^nɒţm.^kšķiπχ.^θomk.,Tab. Caps Lock. Compleat. Control. Alt. Obliterate. Enter,Bad resolution makes it hard to get some of the glyphs right.,
53,BeadleGrimms,^ɣẅbiidlɢrimsxə-mǩaπa-šopraptφyrxkeθəɢð-χtena.^lo-jnaķm-əšb-ķuɮaθǩv-pnsča'uθ.^lo-zťøsaaǆ-loxe-ɢţrɒsd-šdeχaad.,"From Beadle & Grimm's: Behold New Phyrexia! Surrender to perfection on February 18, 2023. Subscribe and welcome our embrace.",,from_beadle_grimms_and (shall) new_phrexian_world [4>1]behold.(imperative) perfection on_{18}_february_{2023}_[2>3]behold.(imperative) [2>1]subscribe (imperative-and) embrace [2>1]welcome
54,BeadleGrimms_Guide,^naķmzept.^φyrxkeθəɢð.^'elš-norn.^'ečel'.^jnaķm.^naķmqxupl.^keθəɢð.^φ'kitvdlabz.^ǩaπa-šoprapt-φyrxkeθəɢð-χtena.^ǩaπa-əxtuneem-'aliθat.^lo-jnaķm-pnsča'eθ.^xe-φyrxkeθəɢoð.^ǩaπa-jnaķm-weɢw-dl'əpyryx-ɢəkeθəɢð-θwiχaš.^'ušta-'elš-norn-ẅ'uzɮšķiɴţk-jnaķem.^'ušta-φ'kitvdlabz-ķøvxǆav'ɴt-χimɴyrex-'uštaxə-plinexs-vl'elšnorn'ɴuŋəžl'asə'mx-'uxeq.^'ušta-θtatlmi'yl-'elš-norn-'ɴuŋəžal-ǆøzkaǩxə.^šxwə-šotym-norn-vqitz-šxwəxẅots-əšqšχa'θsoφys.,"Defiler.Phyrexia. Elesh Norn. Glory. Perfection. Controller. World. Glistening Oil. Behold New Phyrexia. We shall cleanse their impurities. Surrender to perfection. ____. Elesh Norn has perfected the Fair Basilica. The Surgical Bay spread Glistening Oil and commanded compleation under Elesh Norn's persistent rule. Elesh Norn's commandments were persistent and practiced. May the Apostles of Norn have risen, so may they have been recognized.",,
